order_id,weight (lbs),volume (in3)
21969,1520.0,441040.0
21970,218.0,72465.0
21971,1186.086,6067.37
21972,125.0,35632.0
21973,423.287,515.653
21974,734.0,194040.0
21975,96.0,28248.0
21976,137.0,23472.0
21977,44.0,20736.0
21978,131.0,14112.0
21979,167.0,20661.0
21980,134.482,5122.109
21981,605.0,68470.0
21982,639.34,3573.076
21983,1763.696,3316.287
21984,310.851,1308.964
21985,573.201,878.135
21986,83.776,40407.64
21987,440.924,3465.064
21988,39.683,790.871
21989,330.693,2965.766
21990,41.888,603.039
21991,2574.996,9138.952
21992,154.323,2089.217
21993,1433.003,26378.471
21994,529.109,6629.645
21995,41.888,603.039
21996,1699.762,15524.745
21997,154.323,1230.243
21998,410.059,6293.098
21999,99.208,1245.622
